n_chunks, chunks_size, qos, sync, size, ns
1,4096,1,1,Medium,4271471
1,4096,1,1,Medium,3394985
1,4096,1,1,Medium,3524630
1,4096,1,1,Medium,3669843
1,4096,1,1,Medium,3518735
1,4096,1,1,Large,6467070
1,4096,1,1,Large,6506190
1,4096,1,1,Large,6663092
1,4096,1,1,Large,6732548
1,4096,1,1,Large,6356885
1,4096,1,1,Huge,11991733
1,4096,1,1,Huge,12107625
1,4096,1,1,Huge,26711773
1,4096,1,1,Huge,16676392
1,4096,1,1,Huge,16596010
1,4096,1,0,Tiny,1164275
1,4096,1,0,Tiny,1821346
1,4096,1,0,Tiny,1815394
1,4096,1,0,Tiny,1412661
1,4096,1,0,Tiny,2011021
1,4096,1,0,Tiny,2677685
1,4096,1,0,Small,2101130
1,4096,1,0,Small,4622671
1,4096,1,0,Small,8370357
1,4096,1,0,Small,10908098
1,4096,1,0,Small,12817389
1,4096,1,0,Medium,15304567
1,4096,1,0,Medium,5215521
1,4096,1,0,Medium,10550080
1,4096,1,0,Medium,13467076
1,4096,1,0,Medium,22262788
1,4096,1,0,Medium,27763765
1,4096,1,0,Large,33201385
1,4096,1,0,Large,10762814
1,4096,1,0,Large,17380788
1,4096,1,0,Large,28506044
1,4096,1,0,Large,36274692
1,4096,1,0,Large,45197019
1,4096,1,0,Large,57922752
1,4096,1,0,Huge,14966581
1,4096,1,0,Huge,29387666
1,4096,1,0,Huge,49828049
1,4096,1,0,Huge,72101678
1,4096,1,0,Huge,84894493
1,4096,1,0,Huge,97584307
1,8192,1,1,Tiny,681475
1,8192,1,1,Tiny,426429
1,8192,1,1,Tiny,351394
1,8192,1,1,Tiny,384658
1,8192,1,1,Tiny,357703
1,8192,1,1,Small,1410986
1,8192,1,1,Small,1337310
1,8192,1,1,Small,1272291
1,8192,1,1,Small,1229502
1,8192,1,1,Small,1189108
1,8192,1,1,Medium,2633596
1,8192,1,1,Medium,2260143
1,8192,1,1,Medium,2540962
1,8192,1,1,Medium,2694053
1,8192,1,1,Medium,2494920
1,8192,1,1,Large,4529538
1,8192,1,1,Large,5733229
1,8192,1,1,Large,5029313
1,8192,1,1,Large,4894849
1,8192,1,1,Large,4806309
1,8192,1,1,Huge,9448228
1,8192,1,1,Huge,7743670
1,8192,1,1,Huge,7704588
1,8192,1,1,Huge,7592332
1,8192,1,1,Huge,11503963
1,8192,1,0,Tiny,697303
1,8192,1,0,Tiny,1328561
1,8192,1,0,Tiny,1578702
1,8192,1,0,Tiny,1930241
1,8192,1,0,Tiny,2179396
1,8192,1,0,Tiny,2893131
1,8192,1,0,Small,1730844
1,8192,1,0,Small,2805733
1,8192,1,0,Small,3880707
1,8192,1,0,Small,5242280
1,8192,1,0,Small,6311135
1,8192,1,0,Medium,7669127
1,8192,1,0,Medium,3337588
1,8192,1,0,Medium,7424952
1,8192,1,0,Medium,9564585
1,8192,1,0,Medium,11835331
1,8192,1,0,Medium,13923776
1,8192,1,0,Medium,15975638
1,8192,1,0,Large,4489187
1,8192,1,0,Large,13802567
1,8192,1,0,Large,20153689
1,8192,1,0,Large,26484565
1,8192,1,0,Large,30865365
1,8192,1,0,Large,36668295
1,8192,1,0,Huge,8065380
1,8192,1,0,Huge,15755748
1,8192,1,0,Huge,23483846
1,8192,1,0,Huge,30784383
1,8192,1,0,Huge,37533902
3,32,1,1,Tiny,32063120
3,32,1,1,Tiny,25639868
3,32,1,1,Tiny,15864396
3,32,1,1,Tiny,16385756
3,32,1,1,Tiny,16026659
3,32,1,1,Small,117838122
3,32,1,1,Small,106234429
3,32,1,1,Small,117501433
3,32,1,1,Small,152615965
3,32,1,1,Small,132545024
3,32,1,1,Medium,311506226
3,32,1,1,Medium,263866812
3,32,1,1,Medium,245281865
3,32,1,1,Medium,243960267
3,32,1,1,Medium,264993646
3,32,1,1,Large,516561893
3,32,1,1,Large,497712320
3,32,1,1,Large,521423725
3,32,1,1,Large,500179696
3,32,1,1,Large,497809939
3,32,1,1,Huge,969615029
3,32,1,1,Huge,945558738
3,32,1,1,Huge,1008127641
3,32,1,1,Huge,916866695
3,32,1,1,Huge,920319312
3,32,1,0,Tiny,17695063
3,32,1,0,Tiny,41305921
3,32,1,0,Tiny,60316451
3,32,1,0,Tiny,79245882
3,32,1,0,Tiny,98692794
3,32,1,0,Tiny,110084317
3,32,1,0,Small,114036680
3,32,1,0,Small,223754810
3,32,1,0,Small,340097036
3,32,1,0,Small,458701067
3,32,1,0,Small,575586282
3,32,1,0,Small,735496133
3,32,1,0,Medium,272480035
3,32,1,0,Medium,552987511
3,32,1,0,Medium,809438333
3,32,1,0,Medium,1091046894
3,32,1,0,Medium,1353101095
3,32,1,0,Medium,1678908807
3,32,1,0,Large,595476690
3,32,1,0,Large,1163325895
3,32,1,0,Large,1708949145
3,32,1,0,Large,2297630479
3,32,1,0,Large,2880135296
3,32,1,0,Large,3448417746
3,32,1,0,Huge,1010784974
3,32,1,0,Huge,2051159393
3,32,1,0,Huge,3073322333
3,32,1,0,Huge,4055054133
3,32,1,0,Huge,5067018728
3,32,1,0,Huge,6087697189
3,64,1,1,Tiny,8326844
3,64,1,1,Tiny,7837379
3,64,1,1,Tiny,15875132
3,64,1,1,Tiny,10479137
3,64,1,1,Tiny,13417973
3,64,1,1,Small,59215598
3,64,1,1,Small,57617877
3,64,1,1,Small,57969017
3,64,1,1,Small,58726576
3,64,1,1,Small,57275674
3,64,1,1,Medium,148761013
3,64,1,1,Medium,134701486
3,64,1,1,Medium,165785009
3,64,1,1,Medium,157095768
3,64,1,1,Medium,136392977
3,64,1,1,Large,266369017
3,64,1,1,Large,254105830
3,64,1,1,Large,256524346
3,64,1,1,Large,294853149
3,64,1,1,Large,253600520
3,64,1,1,Huge,464479050
3,64,1,1,Huge,486625734
3,64,1,1,Huge,480350692
3,64,1,1,Huge,508351805
3,64,1,1,Huge,504073461
3,64,1,0,Tiny,9516436
3,64,1,0,Tiny,17842343
3,64,1,0,Tiny,26689301
3,64,1,0,Tiny,34612099
3,64,1,0,Tiny,43327006
3,64,1,0,Tiny,46474225
3,64,1,0,Small,58101224
3,64,1,0,Small,116650123
3,64,1,0,Small,174219153
3,64,1,0,Small,231025254
3,64,1,0,Small,295481197
3,64,1,0,Medium,374076905
3,64,1,0,Medium,255720143
3,64,1,0,Medium,424406146
3,64,1,0,Medium,576876740
3,64,1,0,Medium,729996053
3,64,1,0,Medium,905854134
3,64,1,0,Large,1104159188
3,64,1,0,Large,484196371
3,64,1,0,Large,761317196
3,64,1,0,Large,1130043399
3,64,1,0,Large,1417387292
3,64,1,0,Large,1688048587
3,64,1,0,Huge,1947457527
3,64,1,0,Huge,781933802
3,64,1,0,Huge,1271920960
3,64,1,0,Huge,1752501515
3,64,1,0,Huge,2231091770
3,64,1,0,Huge,2766089040
3,64,1,0,Huge,3266164829
3,128,1,1,Tiny,4670622
3,128,1,1,Tiny,4273175
3,128,1,1,Tiny,4199637
3,128,1,1,Tiny,4221872
3,128,1,1,Tiny,4291866
3,128,1,1,Small,29091136
3,128,1,1,Small,27101010
3,128,1,1,Small,28579457
3,128,1,1,Small,28006463
3,128,1,1,Small,28384136
3,128,1,1,Medium,62301462
3,128,1,1,Medium,65056838
3,128,1,1,Medium,67185977
3,128,1,1,Medium,63679425
3,128,1,1,Medium,63075583
3,128,1,1,Large,121467561
3,128,1,1,Large,125475299
3,128,1,1,Large,122473777
3,128,1,1,Large,119977455
3,128,1,1,Large,131715049
3,128,1,1,Huge,228396731
3,128,1,1,Huge,241914797
3,128,1,1,Huge,225884889
3,128,1,1,Huge,229661454
3,128,1,1,Huge,227368752
3,128,1,0,Tiny,4829943
3,128,1,0,Tiny,9782244
3,128,1,0,Tiny,14051916
3,128,1,0,Tiny,18559236
3,128,1,0,Tiny,25753393
3,128,1,0,Small,30942250
3,128,1,0,Small,32007956
3,128,1,0,Small,64629189
3,128,1,0,Small,93234277
3,128,1,0,Small,121308523
3,128,1,0,Small,197978009
3,128,1,0,Small,227921412
3,128,1,0,Medium,64033055
3,128,1,0,Medium,131571374
3,128,1,0,Medium,196352374
3,128,1,0,Medium,265131651
3,128,1,0,Medium,333144969
3,128,1,0,Large,412196617
3,128,1,0,Large,224541816
3,128,1,0,Large,361910882
3,128,1,0,Large,492839415
3,128,1,0,Large,628446065
3,128,1,0,Large,758483372
3,128,1,0,Large,884158626
3,128,1,0,Huge,239892656
3,128,1,0,Huge,479507115
3,128,1,0,Huge,718337722
3,128,1,0,Huge,957653350
3,128,1,0,Huge,1196739149
3,256,1,1,Tiny,3006956
3,256,1,1,Tiny,2763758
3,256,1,1,Tiny,2562656
3,256,1,1,Tiny,3015237
3,256,1,1,Tiny,2737281
3,256,1,1,Small,16595836
3,256,1,1,Small,23995924
3,256,1,1,Small,24698008
3,256,1,1,Small,25016142
3,256,1,1,Small,14877199
3,256,1,1,Medium,34669704
3,256,1,1,Medium,69768882
3,256,1,1,Medium,34954022
3,256,1,1,Medium,34009309
3,256,1,1,Medium,33553846
3,256,1,1,Large,66659434
3,256,1,1,Large,65562749
3,256,1,1,Large,66294407
3,256,1,1,Large,75741414
3,256,1,1,Large,66094616
3,256,1,1,Huge,121103978
3,256,1,1,Huge,121047293
3,256,1,1,Huge,122488132
3,256,1,1,Huge,131308815
3,256,1,1,Huge,120938048
3,256,1,0,Tiny,2955841
3,256,1,0,Tiny,9641508
3,256,1,0,Tiny,15180025
3,256,1,0,Tiny,22197016
3,256,1,0,Tiny,24965335
3,256,1,0,Small,31977022
3,256,1,0,Small,22247568
3,256,1,0,Small,61057183
3,256,1,0,Small,79132538
3,256,1,0,Small,94786325
3,256,1,0,Small,110746509
3,256,1,0,Medium,127281253
3,256,1,0,Medium,43281721
3,256,1,0,Medium,82784569
3,256,1,0,Medium,119310093
3,256,1,0,Medium,156085991
3,256,1,0,Medium,198846901
3,256,1,0,Medium,232222073
3,256,1,0,Large,72003113
3,256,1,0,Large,152803994
3,256,1,0,Large,223364876
3,256,1,0,Large,295216610
3,256,1,0,Large,368550284
3,256,1,0,Large,441152957
3,256,1,0,Huge,142240432
3,256,1,0,Huge,269739744
3,256,1,0,Huge,397498264
3,256,1,0,Huge,528991115
3,256,1,0,Huge,651653563
3,512,1,1,Tiny,2453455
3,512,1,1,Tiny,1819287
3,512,1,1,Tiny,1813371
3,512,1,1,Tiny,1787897
3,512,1,1,Tiny,1832340
3,512,1,1,Small,9717362
3,512,1,1,Small,8983536
3,512,1,1,Small,15223503
3,512,1,1,Small,13358310
3,512,1,1,Small,13561039
3,512,1,1,Medium,22413201
3,512,1,1,Medium,19161921
3,512,1,1,Medium,19533717
3,512,1,1,Medium,19654238
3,512,1,1,Medium,20029781
3,512,1,1,Large,47248070
3,512,1,1,Large,36967456
3,512,1,1,Large,37407417
3,512,1,1,Large,36945768
3,512,1,1,Large,37248282
3,512,1,1,Huge,67579253
3,512,1,1,Huge,69778388
3,512,1,1,Huge,68683267
3,512,1,1,Huge,68708302
3,512,1,1,Huge,68825616
3,512,1,0,Tiny,2000214
3,512,1,0,Tiny,3699496
3,512,1,0,Tiny,5102443
3,512,1,0,Tiny,8690840
3,512,1,0,Tiny,10407613
3,512,1,0,Tiny,13035921
3,512,1,0,Small,8506592
3,512,1,0,Small,16993978
3,512,1,0,Small,40979659
3,512,1,0,Small,49523083
3,512,1,0,Small,63702644
3,512,1,0,Small,57881668
3,512,1,0,Medium,19955604
3,512,1,0,Medium,42322825
3,512,1,0,Medium,75143957
3,512,1,0,Medium,95411123
3,512,1,0,Medium,114463756
3,512,1,0,Large,141376559
3,512,1,0,Large,83072008
3,512,1,0,Large,121391952
3,512,1,0,Large,156761405
3,512,1,0,Large,195935212
3,512,1,0,Large,264169313
3,512,1,0,Large,299621878
3,512,1,0,Huge,70640238
3,512,1,0,Huge,139603491
